Дата и время;ID ТС;ID позиции;Код инструмента;ID транзакции;ID заявки;Сигнал;Цена входа позиции;Средняя цена позиции;Цена последней сделки;Текущее количество контрактов;Доход позиции;FlagStopPos;
09.10.2025 17:21:48;RM_tr_Work;;RMZ5;1761315609;2016800042429984813;Покупка;1021.0;1021.0;1021.0;1.0;0;0;
09.10.2025 17:57:26;RM_tr_Work;;RMZ5;1761317518;2016800042430004026;Продажа;1021.0;1021.0;1027.0;0.0;96.85736;0;
09.10.2025 19:07:32;RM_tr_Work;;RMZ5;1761321931;2016800046724416306;Покупка;1025.5;1025.5;1025.5;1.0;0;0;
10.10.2025 09:02:04;RM_tr_Work;;RMZ5;1761372010;2016800046724499318;Покупка;1025.5;1023.0;1020.5;2.0;0;0;
10.10.2025 10:04:53;RM_tr_Work;;RMZ5;1761372128;2016800046724500918;Продажа;1025.5;1023.0;1024.0;1.0;15.28206;0;
10.10.2025 10:32:32;RM_tr_Work;;RMZ5;1761377541;2016800046724575096;Покупка;1025.5;1020.25;1017.5;2.0;15.28206;0;
10.10.2025 11:29:12;RM_tr_Work;;RMZ5;1761379375;2016800046724608299;Продажа;1025.5;1020.25;1024.0;1.0;75.339785;0;
10.10.2025 12:39:16;RM_tr_Work;;RMZ5;1761384787;2016800046724686984;Покупка;1025.5;1020.375;1020.5;2.0;75.339785;0;
10.10.2025 13:37:13;RM_tr_Work;;RMZ5;1761386993;2016800046724713285;Покупка;1025.5;1017.9166666667;1013.0;3.0;75.339785;0;
10.10.2025 15:11:37;RM_tr_Work;;RMZ5;1761394087;2016800046724810476;Покупка;1025.5;1015.4375;1008.0;4.0;75.339785;0;
10.10.2025 15:27:55;RM_tr_Work;;RMZ5;1761394352;2016800046724813183;Продажа;1025.5;1015.4375;1013.5;3.0;42.79329375;0;
10.10.2025 16:13:30;RM_tr_Work;;RMZ5;1761397964;2016800046724871795;Покупка;1025.5;1013.328125;1007.0;4.0;42.79329375;0;
10.10.2025 16:30:03;RM_tr_Work;;RMZ5;1761399075;2016800046724889891;Продажа;1025.5;1013.328125;1004.0;0.0;-568.73107;0;
10.10.2025 16:30:04;RM_tr_Work;;RMZ5;1761399076;2016800046724889897;Продажа;1004.0;1004.0;1004.0;-4.0;0;0;
10.10.2025 17:47:14;RM_tr_Work;;RMZ5;1761403499;2016800046724953962;Продажа;1004.0;1004.4;1006.0;-5.0;0;0;
10.10.2025 18:08:24;RM_tr_Work;;RMZ5;1761403723;2016800046724956496;Покупка;1004.0;1004.4;1000.5;-4.0;62.500034;0;
10.10.2025 22:57:00;RM_tr_Work;;RMZ5;1761412022;2016800051019405089;Покупка;1004.0;1004.4;997.5;-3.0;173.541958;1;
11.10.2025 13:39:01;RM_tr_Work;;RMZ5;1761472841;2016800051019460937;Продажа;1004.0;1002.675;997.5;-4.0;173.541958;0;
12.10.2025 10:27:01;RM_tr_Work;;RMZ5;1761548409;2016800051019482077;Продажа;1004.0;1002.14;1000.0;-5.0;173.541958;0;
12.10.2025 12:59:57;RM_tr_Work;;RMZ5;1761559041;2016800051019500621;Продажа;1004.0;1002.3666666667;1003.5;-6.0;173.541958;0;
12.10.2025 17:47:21;RM_tr_Work;;RMZ5;1761563128;2016800051019507552;Покупка;1004.0;1002.3666666667;1000.0;-5.0;210.97179666667;0;
13.10.2025 09:24:28;RM_tr_Work;;RMZ5;1761631206;2016800051019524584;Продажа;1004.0;1002.8055555556;1005.0;-6.0;210.97179666667;0;
13.10.2025 09:35:08;RM_tr_Work;;RMZ5;1761633315;2016800051019548173;Покупка;1004.0;1002.8055555556;1008.5;0.0;-349.82517;0;
13.10.2025 09:35:08;RM_tr_Work;;RMZ5;1761633317;2016800051019548176;Покупка;1008.5;1008.5;1008.5;6.0;0;0;
13.10.2025 10:50:15;RM_tr_Work;;RMZ5;1761636288;2016800051019585930;Покупка;1008.5;1008.1428571429;1006.0;7.0;0;0;
13.10.2025 11:48:49;RM_tr_Work;;RMZ5;1761639642;2016800051019633009;Продажа;1008.5;1008.1428571429;1011.5;6.0;53.513151428572;0;
13.10.2025 13:26:33;RM_tr_Work;;RMZ5;1761646864;2016800051019704862;Покупка;1008.5;1008.1224489796;1008.0;7.0;53.513151428572;0;
13.10.2025 14:15:15;RM_tr_Work;;RMZ5;1761649045;2016800051019718501;Покупка;1008.5;1007.1696428571;1000.5;8.0;53.513151428572;0;
13.10.2025 14:46:42;RM_tr_Work;;RMZ5;1761651975;2016800051019746856;Продажа;1008.5;1007.1696428571;1007.0;7.0;49.7584975;0;
13.10.2025 14:50:34;RM_tr_Work;;RMZ5;1761652065;2016800051019747889;Продажа;1008.5;1007.1696428571;1012.5;6.0;135.31262357143;0;
13.10.2025 15:02:20;RM_tr_Work;;RMZ5;1761652302;2016800051019756042;Продажа;1008.5;1007.1696428571;1016.0;5.0;277.69960964286;0;
13.10.2025 15:09:05;RM_tr_Work;;RMZ5;1761653009;2016800051019772414;Продажа;1008.5;1007.1696428571;1020.5;4.0;493.15741571428;0;
13.10.2025 17:24:16;RM_tr_Work;;RMZ5;1761661011;2016800051019878917;Покупка;1008.5;1008.9357142857;1016.0;5.0;493.15741571428;0;
13.10.2025 19:18:27;RM_tr_Work;;RMZ5;1761667617;2016800055314350755;Продажа;1008.5;1008.9357142857;1019.5;4.0;662.99205742857;0;
13.10.2025 19:59:45;RM_tr_Work;;RMZ5;1761669425;2016800055314362967;Продажа;1008.5;1008.9357142857;1023.5;3.0;897.51053914285;0;
13.10.2025 21:50:53;RM_tr_Work;;RMZ5;1761676647;2016800055314390678;Покупка;1008.5;1011.2017857143;1018.0;4.0;897.51053914285;0;
14.10.2025 10:04:24;RM_tr_Work;;RMZ5;1761721347;2016800055314443087;Покупка;1008.5;1011.7614285714;1014.0;5.0;897.51053914285;0;
14.10.2025 10:15:54;RM_tr_Work;;RMZ5;1761721476;2016800055314446621;Продажа;1008.5;1011.7614285714;1019.0;4.0;1013.5651881714;0;
14.10.2025 10:58:00;RM_tr_Work;;RMZ5;1761722206;2016800055314464966;Продажа;1008.5;1011.7614285714;1021.5;3.0;1170.0472372;0;
14.10.2025 11:44:44;RM_tr_Work;;RMZ5;1761726893;2016800055314537439;Покупка;1008.5;1012.8210714286;1016.0;4.0;1170.0472372;0;
14.10.2025 12:15:17;RM_tr_Work;;RMZ5;1761729319;2016800055314563085;Продажа;1008.5;1012.8210714286;1021.5;3.0;1309.3938439714;0;
14.10.2025 13:03:05;RM_tr_Work;;RMZ5;1761731126;2016800055314585215;Покупка;1008.5;1013.2408035714;1014.5;4.0;1309.3938439714;0;
14.10.2025 14:10:34;RM_tr_Work;;RMZ5;1761735972;2016800055314621447;Продажа;1008.5;1013.2408035714;1020.0;3.0;1417.69653905;0;
14.10.2025 15:14:49;RM_tr_Work;;RMZ5;1761739580;2016800055314655023;Покупка;1008.5;1013.9306026786;1016.0;4.0;1417.69653905;0;
14.10.2025 15:45:33;RM_tr_Work;;RMZ5;1761741970;2016800055314693105;Покупка;1008.5;1012.8444821429;1008.5;5.0;1417.69653905;0;
14.10.2025 16:15:01;RM_tr_Work;;RMZ5;1761743773;2016800055314718161;Продажа;1008.5;1012.8444821429;1003.5;0.0;657.15030428571;0;
