Дата и время;Стратегия;Код инструмента;Направление;Количество;Цена;Доход позиции;ID позиции;ID транзакции;ID заявки;Сигнал;Цена входа позиции;Средняя цена позиции;Текущее количество контрактов;Уровень Stop;Уровень Profit;Уровень;ТД Верх;ТД Низ;Средний ТД;Средний Объем;Счетчик;FlagTrade;FlagStopPos;
23.07.2025 09:23:38;SiBD;SiU5;Продажа;1;80744.0;0;SiBD_S1753251818;0;0;OpenShort;80744.0;80744.0;-1;0;0;80744.0;0;0;19.649886766763;409.20022819202;1;2;0;
23.07.2025 09:57:12;SiBD;SiU5;Покупка;1;80816.0;-72.0;SiBD_S1753251818;0;0;CloseShort;80744.0;80744.0;0;0;0;80744.0;0;0;19.838737898225;753.81777870023;0;-1;0;
23.07.2025 10:00:26;SiBD;SiU5;Продажа;1;80819.0;0;SiBD_S1753254018;1838790019;1892950812159018954;OpenShort;80819.0;80819.0;-1;0;0;80819.0;0;0;19.75803583169;719.37194444444;1;2;0;
23.07.2025 13:15:34;SiBD;SiU5;Покупка;1;80840.0;-21.0;SiBD_S1753254018;1838801728;1892950812160008411;CloseShort;80819.0;80819.0;0;0;0;80819.0;0;0;19.851484834531;1815.5077543903;0;-1;0;
23.07.2025 13:17:24;SiBD;SiU5;Продажа;1;80841.0;0;SiBD_S1753265844;1838801847;1892950812160011495;OpenShort;80841.0;80841.0;-1;0;0;80840.0;0;0;10;473.53277777778;1;2;0;
23.07.2025 14:49:28;SiBD;SiU5;Покупка;1;80712.0;129.0;SiBD_S1753265844;1838807374;1892950812160306272;CloseShortProfit;80841.0;80841.0;0;0;0;80692.0;0;0;10;695.85226374159;0;-3;0;
23.07.2025 14:55:45;SiBD;SiU5;Продажа;1;80816.0;0;SiBD_S1753271738;1838807745;1892950812160344806;OpenShort;80816.0;80816.0;-1;0;0;80816.0;0;0;10;688.19080614298;1;2;0;
23.07.2025 16:09:03;SiBD;SiU5;Покупка;1;80670.0;146.0;SiBD_S1753271738;1838812148;1892950812160716552;CloseShortProfit;80816.0;80816.0;0;0;0;80679.0;0;0;10;588.99349251341;0;-3;0;
23.07.2025 16:23:24;SiBD;SiU5;Продажа;1;80728.0;0;SiBD_S1753277001;1838813010;1892950812160744917;OpenShort;80728.0;80728.0;-1;0;0;80728.0;0;0;10;586.77394598665;1;2;0;
23.07.2025 18:18:15;SiBD;SiU5;Покупка;1;80593.0;135.0;SiBD_S1753277001;1838819907;1892950812161108325;CloseShortProfit;80728.0;80728.0;0;0;0;80588.0;0;0;10;595.6353733581;0;-3;0;
23.07.2025 19:16:41;SiBD;SiU5;Продажа;1;80737.0;0;SiBD_S1753287397;1838823410;1892950816453603250;OpenShort;80737.0;80737.0;-1;0;0;80737.0;0;0;10;490.17663388196;1;2;0;
24.07.2025 10:15:25;SiBD;SiU5;Продажа;1;81045.0;0;SiBD_S1753287397;1838877325;1892950816454148584;OpenShort;80737.0;80891.0;-2;0;0;81045.0;0;0;10;491.60566126822;2;2;0;
