Дата и время;ID ТС;ID позиции;Код инструмента;ID транзакции;ID заявки;Сигнал;Цена входа позиции;Средняя цена позиции;Цена последней сделки;Текущее количество контрактов;Доход позиции;FlagStopPos;
04.09.2025 17:15:39;WORK_GLD_RW_trend;;GLDRUBF;1760883344;2030873683894081507;Продажа;9134.5;9134.5;9134.5;-1.0;0;0;
04.09.2025 17:18:55;WORK_GLD_RW_trend;;GLDRUBF;1760883544;2030873683894113096;Покупка;9134.5;9134.5;9134.2;0.0;-0.70000000000073;0;
04.09.2025 20:36:26;WORK_GLD_RW_trend;;GLDRUBF;1760895361;2030873688185857735;Покупка;9160.1;9160.1;9160.1;1.0;0;0;
05.09.2025 12:30:36;WORK_GLD_RW_trend;;GLDRUBF;1760952652;2030873688186542796;Продажа;9160.1;9160.1;9187.0;0.0;25.9;0;
05.09.2025 15:31:47;WORK_GLD_RW_trend;;GLDRUBF;1760963529;2030873688186988769;Покупка;9238.7;9238.7;9238.7;1.0;0;0;
05.09.2025 16:48:29;WORK_GLD_RW_trend;;GLDRUBF;1760967169;2030873688187605380;Продажа;9238.7;9238.7;9309.9;0.0;70.199999999999;0;
05.09.2025 17:39:30;WORK_GLD_RW_trend;;GLDRUBF;1760969469;2030873688187958062;Покупка;9272.7;9272.7;9272.7;1.0;0;0;
05.09.2025 22:13:33;WORK_GLD_RW_trend;;GLDRUBF;1760987491;2030873692480877130;Продажа;9272.7;9272.7;9303.4;0.0;29.699999999999;0;
07.09.2025 16:36:41;WORK_GLD_RW_trend;;GLDRUBF;1761131112;2030873692480921334;Покупка;9255.8;9255.8;9255.8;1.0;0;0;
08.09.2025 09:09:32;WORK_GLD_RW_trend;;GLDRUBF;1761199206;2030873692480926424;Продажа;9255.8;9255.8;9302.0;0.0;45.200000000001;0;
09.09.2025 17:07:45;WORK_GLD_RW_trend;;GLDRUBF;1761314744;2030873696777893739;Покупка;9741.9;9741.9;9741.9;1.0;0;0;
09.09.2025 17:40:01;WORK_GLD_RW_trend;;GLDRUBF;1761316853;2030873696778364898;Продажа;9741.9;9741.9;9710.6;0.0;-32.299999999999;0;
09.09.2025 17:40:02;WORK_GLD_RW_trend;;GLDRUBF;1761316854;2030873696778364923;Продажа;9710.6;9710.6;9710.6;-1.0;0;0;
09.09.2025 17:40:08;WORK_GLD_RW_trend;;GLDRUBF;1761316856;2030873696778364946;Продажа;9710.6;9713.95;9717.3;-2.0;0;0;
09.09.2025 19:05:16;WORK_GLD_RW_trend;;GLDRUBF;1761321980;2030873701070670437;Продажа;9710.6;9724.9333333333;9746.9;-3.0;0;0;
09.09.2025 22:45:49;WORK_GLD_RW_trend;;GLDRUBF;1761332820;2030873701070851968;Покупка;9710.6;9724.9333333333;9721.9;-2.0;2.0333333333347;1;
10.09.2025 09:03:40;WORK_GLD_RW_trend;;GLDRUBF;1761372023;2030873701070936392;Продажа;9710.6;9735.0555555556;9755.3;-3.0;2.0333333333347;0;
10.09.2025 09:25:06;WORK_GLD_RW_trend;;GLDRUBF;1761373514;2030873701070980772;Покупка;9710.6;9735.0555555556;9784.3;-2.0;-48.211111111108;0;
10.09.2025 09:25:06;WORK_GLD_RW_trend;;GLDRUBF;1761373514;2030873701070980772;Покупка;9710.6;9735.0555555556;9784.7;-1.0;-98.855555555552;0;
10.09.2025 09:25:06;WORK_GLD_RW_trend;;GLDRUBF;1761373514;2030873701070980772;Покупка;9710.6;9735.0555555556;9785.7;0.0;-150.5;0;
10.09.2025 09:25:06;WORK_GLD_RW_trend;;GLDRUBF;1761373515;2030873701070980787;Покупка;9785.9;9785.9;9785.9;3.0;0;0;
